nodes,c,InnerABC,MKL,time
1,1,,,oom
1,1,on,,oom
1,1,,on,oom
1,1,on,on,oom
1,2,,,oom
1,2,on,,oom
1,2,,on,oom
1,2,on,on,oom
2,1,,,oom
2,1,on,,265.6
2,1,,on,oom
2,1,on,on,oom
2,2,,,172.9
2,2,on,,oom
2,2,,on,77.5
2,2,on,on,oom
2,4,,,138.5
2,4,on,,oom
2,4,,on,103.3
2,4,on,on,oom
4,1,,,184
4,1,on,,153.9
4,1,,on,94.8
4,1,on,on,214.8
4,2,,,120.4
4,2,on,,oom
4,2,,on,59.1
4,2,on,on,oom
4,4,,,90.4
4,4,on,,oom
4,4,,on,41.6
4,4,on,on,oom
8,1,,,139.8
8,1,on,,92.3
8,1,,on,87
8,1,on,on,156.1
8,2,,,95.1
8,2,on,,87.7
8,2,,on,50.6
8,2,on,on,117.7
8,4,,,63.9
8,4,on,,oom
8,4,,on,32.7
8,4,on,on,oom
8,8,,,48.1
8,8,on,,oom
8,8,,on,24
8,8,on,on,oom
16,1,,,89.4
16,1,on,,61.1
16,1,,on,85.6
16,1,on,on,124.9
16,2,,,73.8
16,2,on,,53.8
16,2,,on,47.5
16,2,on,on,87
16,4,,,51.3
16,4,on,,54.1
16,4,,on,29.2
16,4,on,on,68.9
16,8,,,35.8
16,8,on,,oom
16,8,,on,20.1
16,8,on,on,oom
32,1,,,72
32,1,on,,45.5
32,1,,on,86.6
32,1,on,on,108
32,2,,,49.4
32,2,on,,36.7
32,2,,on,47.9
32,2,on,on,69.3
32,4,,,42
32,4,on,,34.7
32,4,,on,28.8
32,4,on,on,51.2
32,8,,,30.6
32,8,on,,40.7
32,8,,on,19.6
32,8,on,on,48.1
32,16,,,23
32,16,on,,oom
32,16,,on,15.2
32,16,on,on,oom
