nodes,c,InnerABC,MKL,time
1,2,on,on,203.1
1,2,,on,70.9
2,2,on,on,205.6
2,2,,on,74.1
4,2,on,on,208.6
4,2,,on,85.3
8,2,on,on,218.9
8,2,,on,96.8
16,2,on,on,248.3
16,2,,on,110
32,2,on,on,331.8
32,2,,on,175
